classroom_name,session,avg_progress,n_activities,n_completed,n_students,completion_rate
School_06 기후변화,3.0,0.3264710109090909,110,30,11,0.2727272727272727
School_06 기후변화,4.0,0.14025974025974025,77,9,11,0.11688311688311688
School_06 기후변화,5.0,0.1447811313131313,99,13,11,0.13131313131313133
School_06 기후변화,6.0,0.3050964049586777,121,35,11,0.2892561983471074
School_06 기후변화,7.0,0.3026515113636364,88,23,11,0.26136363636363635
School_06 기후변화,8.0,0.0012987,110,0,11,0.0
School_06 기후변화,9.0,0.4885714272727273,110,50,11,0.45454545454545453
School_06 기후변화,10.0,0.2981818,110,25,11,0.22727272727272727
School_06 기후변화,11.0,0.01818181818181818,110,2,11,0.01818181818181818
School_06 기후변화,12.0,0.18181818181818182,66,12,11,0.18181818181818182
School_06 기후변화,13.0,0.33766233766233766,77,25,11,0.3246753246753247
School_06 기후변화,14.0,0.2727272727272727,44,12,11,0.2727272727272727
School_06 기후변화,15.0,0.2909090909090909,55,16,11,0.2909090909090909
School_07 해양쓰레기,1.0,0.44617157222222226,180,63,18,0.35
School_07 해양쓰레기,2.0,0.018518518518518517,108,2,18,0.018518518518518517
School_07 해양쓰레기,3.0,0.2553452182539682,126,28,18,0.2222222222222222
School_07 해양쓰레기,4.0,0.2094545916666667,360,69,18,0.19166666666666668
School_07 해양쓰레기,5.0,0.16064814444444445,180,28,18,0.15555555555555556
School_07 해양쓰레기,6.0,0.3655864166666667,144,43,18,0.2986111111111111
School_07 해양쓰레기,7.0,0.10030865740740741,216,19,18,0.08796296296296297
School_07 해양쓰레기,8.0,0.49262183333333337,180,58,18,0.32222222222222224
School_07 해양쓰레기,9.0,0.27645257638888887,144,26,18,0.18055555555555555
School_07 해양쓰레기,10.0,0.4424400518518518,108,28,18,0.25925925925925924
School_07 해양쓰레기,11.0,0.13293650793650794,126,16,18,0.12698412698412698
School_07 해양쓰레기,12.0,0.48412698412698413,126,61,18,0.48412698412698413
School_07 해양쓰레기,13.0,0.38310185416666664,144,50,18,0.3472222222222222
School_07 해양쓰레기,14.0,0.31666666666666665,90,25,18,0.2777777777777778
School_07 해양쓰레기,15.0,0.05555555555555555,108,5,18,0.046296296296296294
School_08 해양쓰레기,1.0,0.2947304,70,15,7,0.21428571428571427
School_08 해양쓰레기,2.0,0.2586758666666667,42,10,7,0.23809523809523808
School_08 해양쓰레기,3.0,0.16672238551020407,49,7,7,0.14285714285714285
School_08 해양쓰레기,4.0,0.5596502214285715,140,77,7,0.55
School_08 해양쓰레기,5.0,0.5332476142857142,70,33,7,0.4714285714285714
School_08 해양쓰레기,6.0,0.8321428571428572,56,45,7,0.8035714285714286
School_08 해양쓰레기,7.0,0.6322297499999999,84,49,7,0.5833333333333334
School_08 해양쓰레기,8.0,0.46110799428571425,70,21,7,0.3
School_08 해양쓰레기,9.0,0.4008972142857143,56,16,7,0.2857142857142857
School_08 해양쓰레기,10.0,0.702700811904762,42,26,7,0.6190476190476191
School_08 해양쓰레기,11.0,0.550540530612245,49,21,7,0.42857142857142855
School_08 해양쓰레기,12.0,0.5918367346938775,49,27,7,0.5510204081632653
School_08 해양쓰레기,13.0,0.15178571428571427,56,5,7,0.08928571428571429
School_08 해양쓰레기,14.0,0.15714285714285714,35,3,7,0.08571428571428572
School_08 해양쓰레기,15.0,0.7976190476190477,42,31,7,0.7380952380952381
School_09 기후변화,1.0,0.35185184444444445,45,15,5,0.3333333333333333
School_09 기후변화,2.0,0.18555555,60,10,5,0.16666666666666666
School_09 기후변화,3.0,0.0,50,0,5,0.0
