classroom_name,competency,avg_progress,n_activities,n_students
신암중학교 기후변화,DC,0.0,756,12
신암중학교 기후변화,DI,0.0,135,11
신암중학교 기후변화,DV,0.0,10,2
신정고등학교 기후변화,CT,0.0,65,10
신정고등학교 기후변화,DA,0.0,363,18
신정고등학교 기후변화,DC,0.0,1349,18
신정고등학교 기후변화,DI,0.0,57,7
엘리스학교 해양쓰레기,CT,0.0,22,7
엘리스학교 해양쓰레기,DA,0.0,112,8
엘리스학교 해양쓰레기,DC,0.0,58,4
엘리스학교 해양쓰레기,DI,0.0,2,1
영동중학교 해양쓰레기,CT,0.0,35,8
영동중학교 해양쓰레기,DA,0.0,508,10
영동중학교 해양쓰레기,DC,0.0,160,6
영동중학교 해양쓰레기,DI,0.0,113,9
영동중학교 해양쓰레기,DV,0.0,41,7
영등포고등학교 식량안보,CT,0.0,6,3
영등포고등학교 식량안보,DA,0.0,93,6
영등포고등학교 식량안보,DC,0.0,490,7
영등포고등학교 식량안보,DI,0.0,16,4
영등포고등학교 해양쓰레기,CT,0.0,55,9
영등포고등학교 해양쓰레기,DA,0.0,2,1
영등포고등학교 해양쓰레기,DI,0.0,2,1
예당고등학교 기후변화,CT,0.0,281,4
예당고등학교 기후변화,DA,0.0,137,5
예당고등학교 기후변화,DC,0.0,733,5
예당고등학교 기후변화,DI,0.0,2,2
예산고등학교 식량안보,CT,0.0,116,19
예산고등학교 식량안보,DA,0.0,152,15
예산고등학교 식량안보,DC,0.0,348,17
예산고등학교 식량안보,DI,0.0,61,11
예산고등학교 식량안보,DV,0.0,26,9
와우고등학교 식량안보,CT,0.0,29,8
와우고등학교 식량안보,DA,0.0,320,15
와우고등학교 식량안보,DC,0.0,225,14
와우고등학교 식량안보,DI,0.0,77,10
와우고등학교 식량안보,DV,0.0,44,10
울산여자고등학교 해양쓰레기,CT,0.0,5,4
울산여자고등학교 해양쓰레기,DA,0.0,211,8
울산여자고등학교 해양쓰레기,DC,0.0,152,5
울산여자고등학교 해양쓰레기,DI,0.0,21,4
장기중학교 기후변화,CT,0.0,27,4
장기중학교 기후변화,DC,0.0,70,4
장기중학교 기후변화,DI,0.0,28,8
장평중학교 해양쓰레기,CT,0.0,26,6
장평중학교 해양쓰레기,DA,0.0,197,11
장평중학교 해양쓰레기,DC,0.0,1,1
전남여자고등학교 해양쓰레기,CT,0.0,3,3
전남여자고등학교 해양쓰레기,DA,0.0,20,2
전남여자고등학교 해양쓰레기,DC,0.0,122,6
전주솔빛중학교 기후변화,CT,0.0,133,11
전주솔빛중학교 기후변화,DA,0.0,175,10
전주솔빛중학교 기후변화,DC,0.0,671,11
전주솔빛중학교 기후변화,DI,0.0,151,10
전주솔빛중학교 기후변화,DV,0.0,18,3
지평고등학교 식량안보,CT,0.0,55,5
지평고등학교 식량안보,DA,0.0,53,5
지평고등학교 식량안보,DC,0.0,34,1
지평고등학교 식량안보,DI,0.0,8,2
지평고등학교 식량안보,DV,0.0,15,3
진주동명중학교 기후변화,CT,0.0,1,1
진주동명중학교 기후변화,DA,0.0,87,5
진주동명중학교 기후변화,DC,0.0,167,11
천안두정중학교 해양쓰레기,CT,0.0,12,5
천안두정중학교 해양쓰레기,DA,0.0,134,8
천안두정중학교 해양쓰레기,DC,0.0,424,10
천안두정중학교 해양쓰레기,DI,0.0,40,3
천안두정중학교 해양쓰레기,DV,0.0,17,2
천안월봉고등학교 식량안보,CT,0.0,27,13
천안월봉고등학교 식량안보,DA,0.0,204,19
천안월봉고등학교 식량안보,DC,0.0,244,20
천안월봉고등학교 식량안보,DI,0.0,59,12
천안월봉고등학교 식량안보,DV,0.0,7,2
청주중학교 기후변화,CT,0.0,72,6
청주중학교 기후변화,DA,0.0,91,7
청주중학교 기후변화,DC,0.0,98,5
청주중학교 기후변화,DI,0.0,30,5
포항중앙여자고등학교 해양쓰레기,CT,0.0,17,4
포항중앙여자고등학교 해양쓰레기,DA,0.0,147,15
포항중앙여자고등학교 해양쓰레기,DC,0.0,689,16
포항중앙여자고등학교 해양쓰레기,DI,0.0,7,3
한동글로벌학교 기후변화 A반,CT,0.0,630,19
한동글로벌학교 기후변화 A반,DA,0.0,147,8
한동글로벌학교 기후변화 A반,DC,0.0,248,16
한동글로벌학교 기후변화 A반,DI,0.0,2,1
한동글로벌학교 기후변화 B반,CT,0.0,363,15
한동글로벌학교 기후변화 B반,DA,0.0,149,12
한동글로벌학교 기후변화 B반,DC,0.0,276,15
한동글로벌학교 기후변화 B반,DI,0.0,243,12
향동중학교 기후변화,CT,0.0,49,14
향동중학교 기후변화,DA,0.0,252,19
향동중학교 기후변화,DC,0.0,2022,19
화봉고등학교 식량안보,CT,0.0,8,5
화봉고등학교 식량안보,DA,0.0,34,4
화봉고등학교 식량안보,DC,0.0,45,3
화봉고등학교 식량안보,DI,0.0,2,1
화봉고등학교 식량안보,DV,0.0,3,2
